address,area,bedroom_number,description,direction,end_date,floor_number,height,is_car_pack,is_dinning_room,is_kitchen,is_owner,is_terrace,law,price,start_date,street_in_front_of_house,type,width
" Đường Trần Thái Tông, Phường 15, Quận Tân Bình, Hồ Chí Minh", 86 m,5,"Nhà Hẻm Xe Tải Thông Trần Thái Tông, Phường 15, Tân Bình, Vị Trí Đẹp Gần Sân Bay Tân Sơn Nhất, 86m2, Sổ Đẹp Nở Hậu Tài Lộc, Nhà Thiết Kế 4 Tầng Đẹp Lung Linh, Nội Thất Cao Cấp Toàn Gỗ Quý Hiếm, Chỉ 11 Tỷ Thương Lượng.
* Chính chủ cần tiền cho con đi Nhật du học nên cần bán gấp nhà hẻm xe tải thông Trần Thái Tông, Phường 15, Tân Bình.
* Vị trí đắc địa ngay khu Víp Tân Bình, gần sân bay Tân Sơn Nhất, khu vực thuận tiện duy chuyển các quận trung tâm, tiếp giáp Gò Vấp, Quận 12, Tân Phú...
* Nhà hẻm xe tải 6m chỉ cách mặt tiền đường 1 căn duy nhất, hiện chủ vừa ở vùa kinh doanh dòng tiền 30tr/tháng. 
* Vị trí đẹp gần chợ tân trụ, trường học các cấp, ngân hàng, siêu thị, xe tải thông khắp ngã đường thông Phạm Văn Bach, Nguyễn Sỹ Sách, Trường Chinh...chủ thiết kế tâm huyết nội thất cao cấp toàn gỗ quý hiếm, tặng lại toàn bộ nội thất cho khách có nhu cầu.
* Dt : 86m2(4.5x18.5) nở hậu 5m tài lộc, chỉ 11 tỷ thương lượng.
* Kết cấu : Nhà thiết kế 4 tầng đẹp lung linh, nội thất sang trọng, không gian thoáng mát gồm 5 phòng ngủ 5wc.
* Sổ đẹp, nở hậu tài lộc, pháp lý chuẩn, công chứng ngay trong ngày.
* Còn rất nhiều tiện ích xung quanh, để được tư vấn thêm LH : Hiếu để được gặp trực tiếp chủ nhà. Xin cảm ơn quý khách đã xem tin.",_,,4,"18,5m",True,True,True,False,True,Sổ hồng/ Sổ đỏ, 11 tỷ ,Ngày đăng: 22/06/2023,6m,Nhà trong hẻm,"4,5m"
" Tỉnh Lộ 1, Xã Ea Nuôl, Huyện Buôn Đôn, Đắk Lắk", 150 m,---,"D246 đất eanuol buôn đôn
cách tỉnh lộ 2 chỉ 1,5 km , khu dân cư đường thông thoáng ,
Vt: thuộc thôn đại đồng, cách trung tâm phố 7 km 
Ht: đất trống bằng phẳng dân cư đông đường bê tông 8m
Dt: 5x36
Tc: 133m2
Giá: 399tr thương lượng
Hướng : tây nam
liên hệ : gặp nguyễn tài tôn xem đất ngay hôm nay",_,,---,30m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 399 triệu ,Ngày đăng: 22/06/2023,6m,"Đất thổ cư, đất ở",5m
" Đường Võ Thị Yến, Thành phố Quy Nhơn, Bình Định", 205 m,---,"Chính chủ cần bán khách sạn đang kinh doanh tại đường Võ Thị Yến, phường Nguyễn Văn Cừ, Quy Nhơn.
KS nằm trong khu quy hoạch vui chơi giải trí của tỉnh, xung quanh khách sạn là chuỗi khách sạn cao cấp như FLC, Anya, Hải Âu, Hoàng Yến..cùng với các nhà hàng sang trọng với những món ăn phong phú.
- Từ KS chỉ đi vài phút là đã ra tới biển. Đặc biệt KS có hai mặt tiền rất thuận lợi cho việc ô tô của quý khách ra vào đậu đỗ trong tầng giữ xe.
- KS có hệ thống PCCC tự động, capin thang máy rất rộng, thuận lợi đưa rước khách lên xuống các tầng.
- KS có 41 phòng kinh doanh, có bếp lầu, có phòng ăn, để phục vụ quý khách lưu trú trong KS.
- KS được quy hoạch 3 sao nhưng hiện tại là hai sao chuẩn.
- KS mới hoàn thành cuối tháng 6/2019. Tương lai con đường Bùi Hữu Nghĩa kéo dài ra biển
- DT nền 205m2. DTXD 1950m2
- Đường rộng 20m - hướng Tây Bắc và đường rộng 8m - hướng Đông Nam.
***Giá bán 36,9 tỷ
Liên hệ Mr Vân 0947.400.145",Tây Bắc,,---,"37,5m",False,False,False,False,False,---," 36,9 tỷ ",Ngày đăng: 22/06/2023,20m,"Nhà hàng, khách sạn","5,5m"
" Tỉnh lộ 2/9, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương", 64 m,2,"KHÁCH BỎ CỌC NÊN BÁN GIÁ RẺ HƠN THỊ TRƯỜNG 200T . 
              ❤️❤️❤️❤️❤️
NHÀ KDT HAPPY HOME . MỸ PHƯỚC 2 BẾN CÁT - BÌNH DƯƠNG - ĐÃ CÓ SỔ HỒNG 
NHÀ CHÍNH CHỦ BÁN .   
              ❤️❤️❤️❤️❤️
+ Diện Tích : 64.M2 . Ngang 4M Dài 16 ( có thêm lối thoát hiểm sau nhà )
+ Nhà 1 Trêt + Lửng : PHòng khách + Phòng Thờ . 2 Phòng Ngủ 2 WC.....
+ Đường Nội Bộ 10M ( Xe OTO đậu thoải mái ngày đêm ) 
+ Nhà Đang cho Gia Đình thuê Ổn Định 5T/Tháng . ( có thu nhập ngay cho khách mua đầu tư ) 
+ Khu Nhà An Ninh , Yên Tĩnh .
+ Bán Kính 500M Tiện Ích đầy đủ (Trường Học , Nhà Hát , KCN Mỹ Phước ....) 
+ Sổ Hồng Riêng ,Hỗ Trợ Vay Ngân hàng Hoặc Trả Chậm cho khách Thiện Chí . 
LH gặp Diệu dẫn xem nhà mọi lúc.
——",_,,1,16m,False,True,True,False,False,Sổ hồng/ Sổ đỏ," 1,68 tỷ ",Ngày đăng: 21/06/2023,10m,"Biệt thự, nhà liền kề",4m
" Quốc lộ 14, Phường Minh Hưng, Thị xã Chơn Thành, Bình Phước", 625 m,---,,_,,---,---,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 280 triệu ,Ngày đăng: 22/06/2023,18m,"Đất thổ cư, đất ở",---
" Quốc lộ 13, Phường Hưng Long, Thị xã Chơn Thành, Bình Phước", 622 m,---,,_,,---,40m,False,False,False,False,False,---, 330 triệu ,Ngày đăng: 22/06/2023,22m,"Đất thổ cư, đất ở",26m
" Đường Vĩnh Phú 17A, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương", 194 m,---,"*** CHỦ GIẢM GIÁ SỐC: từ 4 tỷ 6 giảm còn 4 tỷ 3 nay (14 tháng 6 ) giảm còn 4 tỷ 1****
  - Cần bán gấp lô đất vị trí đẹp, mặt tiền rộng 9,7m, khu dân cư đông đúc, thích hợp xây phòng trọ cho thuê, xây để ở hoặc đầu tư lâu dài, xe hơi vào tận nơi.
  - Cần vốn kinh doanh nên bán gấp, bớt chút đỉnh cho người mua thiện chí, MIỄN TRUNG GIAN, MÔI GIỚI.
++ Vị trí:
  - Khu phố Trung, đường Vĩnh Phú 17A, Thành phố Thuận An, Bình Dương.
++ Pháp lý:
  - Sổ hồng chính chủ, sang tên ngay.
  - Diện tích: 194,6m², mặt tiền rộng 9.7m x 20m
  - Hướng đất: Đông Bắc.
++Tiện ích:
  - Khu dân cư đông đúc, gần chợ, khu có công nhân nhiều thích hợp xây phòng cho thuê.
  - Gần trường học, bệnh viện Quốc tế Hạnh Phúc, gần khu chung cư.
  - Cách QL13 30m.
  - Cách trung tâm TP HCM 10Km.
  - Cách các KCN: Việt Hương, VSIP, Sóng Thần: 5Km.
  - Tổng diện tích 194,6 m² thích hợp xây nhà ở, làm nhà xưởng, cho thuê phòng trọ.
++ Giá bán: 4 tỷ 100 triệu
++ Liên hệ:
  - Liên hệ ngay (24/7) để xem đất: Anh Thanh, chị My",Đông Bắc,,---,20m,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 4,1 tỷ ",Ngày đăng: 22/06/2023,3m,"Đất thổ cư, đất ở","9,7m"
" Đường Hòa Hưng, Phường 1, Quận 10, Hồ Chí Minh", 30 m,3,,Tây Nam,,3,8m,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 3,55 tỷ ",Ngày đăng: 22/06/2023,5m,Nhà trong hẻm,4m
" 54/12 Đường Bà Thiên, Xã Nhuận Đức, Huyện Củ Chi, Hồ Chí Minh", 4.500 m,---,,_,,---,101m,False,False,False,False,False,---, 6 tỷ ,Ngày đăng: 22/06/2023,12m,"Đất thổ cư, đất ở",40m
" Đường Dương Văn Bé, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội", 95 m,4,"CHÍNH CHỦ CẦN BÁN GẤP NHÀ NGÕ 156 DƯƠNG VĂN BÉ: 95M, 3 Tầng, MT 4.5M, LÔ GÓC, 3 THOÁNG, NGÕ THÔNG SANG PHỐ MINH KHAI, 2 Ô TÔ TRÁNH GIÁ CHỈ 11 TỶ, BAO TÊN SỔ ĐỎ CHÍNH CHỦ TRAO TAY MỚI LẤY HẾT XIỀN.BẠN THÂN EM LÀ CHỦ, XIN MỜI CÁC NHÀ ĐẦU TƯ ALO EM NGAY Ạ, ĐỪNG CÓ Ý ĐỊNH TỰ TÌM NHÀ Ạ VÌ ẢNH TRÊN BÀI LÀ ẢNH ĐẠI DIỆN ĐẤY Ạ.

+ Với kinh nghiệm nhiều năm, bằng sự uy tín và trách nhiệm luôn luôn muốn mang tới cho khách hàng những sản phẩm đã được chọn lọc tốt nhất, đẹp nhất đi cùng sự an tâm về tính pháp lý nên quý khách hãy tin tưởng và hoàn toàn yên tâm khi sở hữu căn nhà.
 + Miễn phí cho khách mua từ khâu đi xem nhà đến khi giao dịch thành công. 
+ Ai có nhu cầu xin vui lòng liên hệ Mr Thành, sinh năm 1972.
“TRUNG GIAN VÀ CÁC TRANG Web KHÔNG LÀM PHIỀN”.
“ THÀNH CÔNG BỞI CHỮ TÍN”",Bắc,,3,22m,True,True,True,False,True,Sổ hồng/ Sổ đỏ, 11 tỷ ,Ngày đăng: 22/06/2023,6m,"Đất thổ cư, đất ở","4,5m"
" Đường Nguyễn Trãi, Phường Văn Quán, Quận Hà Đông, Hà Nội", 180 m,6,"cần bán gấp Biệt thự đường Nguyễn Trãi, phường Văn Quán, quận Hà Đông, tp Hà Nội.
Mô tả:
Nhà hướng Tây Bắc.
Sổ đỏ 179.4m, xây 85m x 3 tầng đã hoàn thiện cơ bản, mặt tiền 9.61m, hậu 9.61m, Thiết kế: Tầng 1 thông sàn nên khách mua về ngăn theo ý thích; tầng 2 và tầng 3 mỗi tầng 3 phòng ngủ và 2wc, cầu thang góc.
Sổ đỏ chính chủ, cất két, sẵn sàng giao dịch.
Có thương lượng cho khách thiện chí.

+ Với kinh nghiệm nhiều năm, bằng sự uy tín và trách nhiệm luôn luôn muốn mang tới cho khách hàng những sản phẩm đã được chọn lọc tốt nhất, đẹp nhất đi cùng sự an tâm về tính pháp lý nên quý khách hãy tin tưởng và hoàn toàn yên tâm khi sở hữu căn nhà.
 + Miễn phí cho khách mua từ khâu đi xem nhà đến khi giao dịch thành công. 
+ Ai có nhu cầu xin vui lòng liên hệ Mr Thành, sinh năm 1972.
“TRUNG GIAN VÀ CÁC TRANG Web KHÔNG LÀM PHIỀN”.
“ THÀNH CÔNG BỞI CHỮ TÍN”",Tây Bắc,,3,19m,True,True,True,False,True,Sổ hồng/ Sổ đỏ, 27 tỷ ,Ngày đăng: 22/06/2023,10m,"Biệt thự, nhà liền kề","9,61m"
" Phố Đường Thành, Phường Cửa Đông, Quận Hoàn Kiếm, Hà Nội", 32 m,3,"CHÍNH CHỦ CẦN BÁN GẤP NHÀ PHỐ ĐƯỜNG THÀNH 32M, 4 TẦNG, MT 3,5M CHỈ 19.5 TỶ - PHÂN KHÚC VỪA TÚI TIỀN, SỔ VUÔNG VẮN, NHÀ KHÔNG LỖI PHONG THUỶ, 1 CHỦ, 1 SỔ SS GIAO DỊCH.
(NHÀ BÁN GIÁ NÀY CHỈ BÁN TRONG TUẦN QUÝ KHÁCH CHƯA SẴN SÀNG TÀI CHÍNH XIN KHÔNG LÀM PHIỀN).

+ Nhà 3 tầng và1tum, xây được gần 10 năm nên còn khá mới, thông sàn tiện kinh doanh, VP, ở đều tốt.
+ Với kinh nghiệm nhiều năm, bằng sự uy tín và trách nhiệm luôn luôn muốn mang tới cho khách hàng những sản phẩm đã được chọn lọc tốt nhất, đẹp nhất đi cùng sự an tâm về tính pháp lý nên quý khách hãy tin tưởng và hoàn toàn yên tâm khi sở hữu căn nhà.
 + Miễn phí cho khách mua từ khâu đi xem nhà đến khi giao dịch thành công. 
+ Ai có nhu cầu xin vui lòng liên hệ Mr Thành, sinh năm 1972.
“TRUNG GIAN VÀ CÁC TRANG Web KHÔNG LÀM PHIỀN”
                (KHÔNG TIẾP NGƯỜI ĐI XEM HỘ).

                  “ THÀNH CÔNG BỞI CHỮ TÍN”",_,,4,"9,5m",True,True,True,False,True,Sổ hồng/ Sổ đỏ," 19,5 tỷ ",Ngày đăng: 22/06/2023,10m,Nhà mặt tiền,"3,5m"
" 521 Đường Trương Định, Phường Tân Mai, Quận Hoàng Mai, Hà Nội", 72 m,4,"CHÍNH CHỦ CẦN BÁN NHÀ 3 TẦNG, MẶT TIỀN 5M, 3 MẶT THOÁNG VĨNH VIỄN, Ô TÔ 4 CHỖ 3 CÁI NGỦ TẦNG 1, CÁCH Ô TÔ TRÁNH 1 THÂN NHÀ, CÁCH NGÃ TƯ KIM ĐỒNG - TÂN MAI TO KHOẢNG 100M.
SỔ VUÔNG NHƯ TỜ A4, NHÀ KHÔNG LỖI PHONG THUỶ, THÍCH HỢP XÂY TOÀ CCMN 17 CĂN HỘ KHÉO KÍN, VP HAY KS ĐỀU TỐT

+ Với kinh nghiệm nhiều năm, bằng sự uy tín và trách nhiệm luôn luôn muốn mang tới cho khách hàng những sản phẩm đã được chọn lọc tốt nhất, đẹp nhất đi cùng sự an tâm về tính pháp lý nên quý khách hãy tin tưởng và hoàn toàn yên tâm khi sở hữu căn nhà.
 + Miễn phí cho khách mua từ khâu đi xem nhà đến khi giao dịch thành công. 
+ Ai có nhu cầu xin vui lòng liên hệ Mr Thành, sinh năm 1972.
“TRUNG GIAN VÀ CÁC TRANG Web KHÔNG LÀM PHIỀN”.
“ THÀNH CÔNG BỞI CHỮ TÍN”",Đông Nam,,3,"14,5m",True,True,True,False,True,Sổ hồng/ Sổ đỏ," 8,6 tỷ ",Ngày đăng: 22/06/2023,3m,"Đất thổ cư, đất ở",5m
" Đường Tô Hiệu, Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh", 68 m,4,"- Xem nhà liên hệ số đt, miễn tiếp môi giới
- Hình ảnh thật 100%
- Kết cấu nhà 1 trệt 3 lầu mới xây, sạch sẽ, gồm 4 phòng ngủ, 5 WC, phòng thờ, 2 ban công trước sau, 2 giếng trời tại vị trí cầu thang và phòng ngủ sau nên nhà luôn thoáng mát.
- Diện tích 4,5m x 18m.
- Hình thức pháp lý sổ hồng riêng sở hữu lâu dài.
- Hổ trợ vay ngân hàng 70% với lãi suất tốt.
- Phù hợp mở công ty, Spa, Phòng Gym, kinh doanh, cho thuê ...
- Tiện ích xung quanh bán kính 200m là chợ, Bách Hóa Xanh, Vinmart, Coopmart, Big C, Bệnh Viện, Ủy Ban, Trường Học Quốc Tế Các Cấp và chuỗi hệ thống Ngân Hàng.
- Gía còn thương lượng mạnh",_,,4,17m,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 7,3 tỷ ",Ngày đăng: 22/06/2023,12m,Nhà mặt tiền,4m
" Quốc lộ 13, Xã Minh Lập, Thị xã Chơn Thành, Bình Phước", 2.300 m,---,,_,,---,170m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 300 triệu ,Ngày đăng: 22/06/2023,12m,"Đất thổ cư, đất ở",30m
" Đường Đại Lộ Bình Dương, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương", 360 m,---,,_,,---,30m,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 1,1 tỷ ",Ngày đăng: 22/06/2023,25m,"Đất thổ cư, đất ở",12m
" Đường Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh", 704 m,4,"*** Siêu phẩm căn nhà mặt tiền đường Võ Văn Tần F. Võ Thị Sáu Quận 3.***
- Diện tích 20m x 35m.
- Công Nhận 704,1m2.
- Kết cấu trệt - 3 lầu .
- Nhà trống giao ngay.
- CTXD Hầm 7 lầu.
- Pháp lý tư nhân sang trên ngày
- Giá chốt bán 500 tỷ. 
- Liên hệ ngay Hoàng Nguyễn làm việc chính chủ.",Tây Nam,,4,35m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 500 tỷ ,Ngày đăng: 22/06/2023,20m,Nhà mặt tiền,20m
" Đường DK5A, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương", 540 m,---,,_,,---,30m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 950 triệu ,Ngày đăng: 22/06/2023,16m,"Đất thổ cư, đất ở",18m
" Quốc Lộ 13, Xã Thanh Lương, Thị xã Bình Long, Bình Phước", 3.800 m,---,,_,,---,---,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 275 triệu ,Ngày đăng: 22/06/2023,18m,"Đất thổ cư, đất ở",---
" Quốc lộ 14, Phường Hưng Long, Thị xã Chơn Thành, Bình Phước", 3.000 m,---,,_,,---,60m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 290 triệu ,Ngày đăng: 22/06/2023,32m,"Đất thổ cư, đất ở",60m
